vertex1,x,y
418,429930.4061175681,4582756.317778821
419,429870.32973881526,4582698.087107159
420,430003.99516666756,4582828.109795039
421,430213.5772838865,4582849.768423595
422,430069.2735773069,4582893.351182198
423,430791.8593319223,4583788.864180517
424,431181.1378365303,4584168.358849084
425,431385.7474170725,4584329.085209897
426,431556.4555383833,4584344.2124857465
427,431655.1822146398,4584442.3840541355
428,431566.8137708971,4584533.607336368
429,431722.70285867754,4584507.742411282
430,431956.72694130696,4584738.454980281
431,432224.16368153726,4584998.051348062
432,432128.2724322099,4584904.697628056
433,432400.1974577304,4585201.413955872
434,432334.7134226417,4585078.841574033
435,429174.8270239332,4580853.910434618
436,429076.75330805266,4580755.642903545
437,429271.0414478157,4580947.88948042
438,429365.24176236865,4581040.5459417235
439,429461.6381141943,4580943.211847665
440,429460.82966811827,4581134.244855577
441,429556.9986637893,4581228.616616603
442,429651.76824926893,4581131.700539041
443,429653.3422717351,4581323.143357496
444,429936.3171373803,4581410.912605031
445,429748.92678333365,4581415.53584017
446,429365.6108991105,4580851.882091844
447,429553.11761537276,4580846.537554628
448,429554.76344026736,4581036.51404509
449,429742.4911522874,4581038.933063277
450,429745.29990201275,4581223.4245512
451,429863.7894323628,4581297.665405937
452,431711.67029554537,4582097.99508
453,431773.1006404697,4582035.629097371
454,429861.1532230825,4580718.673143448
455,430050.88761558855,4580724.523269017
456,430133.6061971388,4581017.853864252
457,430019.81249995664,4581137.347149268
458,430213.59257564,4580936.198892648
459,430121.0983087359,4580842.515927689
460,430325.94783562835,4580823.872903571
461,428440.84529570263,4582450.666899335
462,428601.04136071255,4582582.336826548
463,429561.6021431867,4581411.425312987
464,429350.2150140641,4581440.418747454
465,428695.2756578332,4581918.463608375
466,429159.5135244647,4581252.110015292
467,429161.1325956297,4581441.6873222515
468,429427.5543382065,4580713.073625578
469,428304.33119787904,4581752.16706
470,428693.6896405354,4581536.579409584
471,428878.67049940914,4581537.463156571
472,429499.0842056139,4580617.011299913
473,429561.1388341349,4580721.863107218
474,429366.84260959225,4580550.272075487
475,429589.52066765644,4580579.503866531
476,429591.396799761,4580509.182309014
477,429431.5049293086,4580414.346285677
478,429621.65897411905,4580414.730767389
479,428700.7495613798,4582676.828925778
480,430049.7252135834,4581522.134873895
481,429555.3094955549,4582762.021104077
482,428122.56361881894,4583979.478021234
483,428281.0071509943,4584035.34824414
484,428295.6938661031,4583947.808797894
485,428395.22464136063,4583929.361935738
486,428539.1309038794,4583885.31377851
487,428623.37075860624,4583739.571725702
488,428751.9691231283,4583645.57252543
489,428863.0813169321,4583536.865663927
490,428849.3778219553,4583383.543274248
491,429070.97179414093,4583525.029979282
492,429030.5821890562,4583405.495445186
493,429103.9753323887,4583241.463451283
494,429169.0077379843,4583165.116235971
495,429263.7054343559,4583064.0312101515
496,429072.3364470326,4583093.426902316
497,429358.8594134645,4583143.609835698
498,429680.53524469346,4582885.2679551095
499,430021.86421098665,4582285.3260884
500,429877.453088224,4582329.246513412
501,430355.15643475857,4580553.681915975
502,430397.4116026357,4580469.543956439
